data,turno,premio1,premio2,premio3,premio4,premio5,premio6,premio7,premio8,premio9,premio10
22/10/2022,Manhã,1121,6433,9243,9487,4567,1776,0133,7920,0143,1337
21/10/2022,Noite,6214,6871,8443,8101,3880,1069,1746,7002,0641,8627
21/10/2022,Tarde,2234,0889,7558,1989,5475,7691,3135,1678,4392,5842
21/10/2022,Manhã,3024,0447,2080,7629,0553,1302,9749,1806,9986,5965
20/10/2022,Noite,4956,7447,5206,6555,9142,0716,7502,3281,1093,4704
20/10/2022,Tarde,1717,9380,1177,4916,7424,2376,1689,9878,4369,8877
20/10/2022,Manhã,0393,9865,7491,0071,6548,0494,7990,4634,4721,9699
19/10/2022,Noite,3815,1232,9541,3818,3890,6169,0594,7835,5465,8159
19/10/2022,Tarde,8851,9974,5341,0331,8698,2811,1907,7633,7454,8248
19/10/2022,Manhã,1937,9803,3968,9114,7936,5075,9154,5946,1185,7745
18/10/2022,Noite,5419,2462,5930,1966,3499,2863,6776,3471,8597,4481
18/10/2022,Tarde,6904,9543,0775,3650,4326,9948,5948,2745,4916,6682
18/10/2022,Manhã,6467,7229,4531,6693,2519,0449,4392,7848,9069,6299
17/10/2022,Noite,1711,4181,6363,5602,1113,1121,3709,8838,3903,9042
17/10/2022,Tarde,4960,6276,7327,2619,2464,6604,7965,2577,7912,3789
17/10/2022,Manhã,2741,6804,3937,8635,0472,4773,8739,8152,5897,1780
15/10/2022,Noite,8643,2051,3400,2307,9005,5382,3572,0359,3027,9698
15/10/2022,Tarde,1648,8496,1235,9727,3985,1148,2750,2559,7512,5735
15/10/2022,Manhã,5819,5526,9539,2267,4624,4147,8777,3272,0761,9508
14/10/2022,Noite,7796,1649,8287,8587,1703,6557,3659,6666,4248,3899
14/10/2022,Noite,7796,1649,8287,8587,1703,6557,3659,6666,4248,3899
14/10/2022,Tarde,1532,9511,3995,5363,0151,8973,5981,9063,5001,1945
14/10/2022,Manhã,5589,9905,6158,8469,3863,0852,0173,5264,7753,8903
13/10/2022,Noite,1463,7830,9939,4553,2428,9761,8707,6817,2592,4068
